##########
Profile for 12h LTST, a latitude of 18.45 deg North and a longitude of 77.4 deg East at Ls=180deg
##########
Altitude,wind,w_l,t,p,rho,vmr_co2,vmr_ar,vmr_n2,vmr_o2,Cp,vmr_h2o,Att_1Hz,C_1Hz,Att_10Hz,C_10Hz,Att_100Hz,C_100Hz,Att_1000Hz,C_1000Hz,Att_10000Hz,C_10000Hz,Att_100000Hz,C_100000Hz,Att_84Hz,C_84Hz,Att_168Hz,C_168Hz
0,0,7.2496e-05,282.345,648.49,0.0143515,0.949968,0.0202393,0.0270022,0.00157815,840.053,0.000233244,2.00409396346443e-05,265.379115394585,0.000442731624635844,265.740879831532,0.0308004251566189,267.269638927273,0.182004347917883,274.935509204478,0.439389030251918,275.421012428972,25.2633842278346,275.426126848646,0.0228468967336678,266.871791218834,0.0669620058513448,269.092448507733
0.294118,1.01661,7.2496e-05,250.975,648.474,0.0143512,0.949968,0.0202393,0.0270022,0.00157815,807.26,0.000233244,1.71636216366532e-05,251.806086688612,0.000527921438788745,251.99283115072,0.0343689166522376,254.316044420404,0.110268024605528,259.508722777092,0.346754078110195,259.679115105115,23.7589090310948,259.680857944219,0.0267033652573508,253.787128346842,0.0618903763175174,256.23171728683
0.588235,1.22974,7.2496e-05,247.497,648.459,0.0143508,0.949968,0.0202393,0.0270022,0.00157815,803.462,0.000233244,1.67066758211452e-05,250.239699889945,0.000541049301890212,250.412406798713,0.0344018398922026,252.825304957654,0.103519067032676,257.718128602111,0.338029723069824,257.868028868289,23.588418677826,257.869558837738,0.0269175058391814,252.288909229103,0.0604273558376919,254.706755671302
0.882353,1.35277,7.2496e-05,245.461,648.443,0.0143505,0.949968,0.0202393,0.0270022,0.00157815,801.224,0.000233244,1.64340671991631e-05,249.323206307559,0.000549125236829809,249.488313268992,0.0343803780043384,251.953061115974,0.099701763295838,256.670874862256,0.333065802228489,256.809805869816,23.4873958598918,256.811222226793,0.0270165974143116,251.413295440813,0.0595011236086611,253.810271109167
1.17647,1.43099,7.2496e-05,244.017,648.427,0.0143501,0.949968,0.0202393,0.0270022,0.00157815,799.629,0.000233244,1.62372415005672e-05,248.668275677564,0.000554966300936339,248.828246941194,0.0343424275251762,251.328971434371,0.0970441130292929,255.922365883225,0.329595477564853,256.053929284738,23.4149092586239,256.055269468967,0.0270713588574651,250.787386323539,0.0588080679467343,253.166851301496
1.47059,1.49691,7.2496e-05,242.896,648.411,0.0143498,0.949968,0.0202393,0.0270022,0.00157815,798.387,0.000233244,1.60810605528381e-05,248.15398909013,0.000559506312985781,248.310101186784,0.034296010112203,250.837917777364,0.0949994147695854,255.334011140323,0.326947011741141,255.460063431413,23.3609049198252,255.461346711276,0.0271017850215443,250.295331910179,0.0582436496049345,252.65933983354
1.76471,1.54163,7.2496e-05,241.98,648.396,0.0143494,0.949968,0.0202393,0.0270022,0.00157815,797.368,0.000233244,1.59557195674033e-05,247.740098820953,0.000563369480483943,247.893196166401,0.0342562024673819,250.443473691356,0.0933655992811853,254.861286789792,0.324798050776937,254.983014174278,23.3142640200526,254.984252836483,0.0271259527024292,249.900149893017,0.0577814241199386,252.251174921824
2.05882,1.58569,7.2496e-05,241.205,648.38,0.0143491,0.949968,0.0202393,0.0270022,0.00157815,796.505,0.000233244,1.58473147934529e-05,247.385201393402,0.000566605331143429,247.535795008287,0.0342124566509446,250.104462048446,0.0919856116342584,254.455391786688,0.322991264386442,254.573538491185,23.2755245665906,254.574740244895,0.0271389835181071,249.560753025042,0.057374985754082,251.899757678204
2.35294,1.61613,7.2496e-05,240.534,648.364,0.0143487,0.949968,0.0202393,0.0270022,0.00157815,795.756,0.000233244,1.57542035891892e-05,247.078634497748,0.000569468996614345,247.227123746142,0.0341725489415972,249.811724912025,0.0908080995510746,254.105198335504,0.321461352598686,254.220328549904,23.2435627924285,254.221499229714,0.0271490104761944,249.26775652541,0.0570212912979846,251.596056862409
2.64706,1.64531,7.2496e-05,239.942,648.349,0.0143484,0.949968,0.0202393,0.0270022,0.00157815,795.094,0.000233244,1.56708760603913e-05,246.806605064549,0.000571978314648497,246.953267699574,0.0341316063253838,249.551593858968,0.0897705048438988,253.794075780406,0.32010043271212,253.906588775915,23.2140070739466,253.907732511105,0.0271536053038223,249.007529516588,0.0567007445280314,251.325826783538
2.94118,1.67545,7.2496e-05,239.412,648.333,0.014348,0.949968,0.0202393,0.0270022,0.00157815,794.501,0.000233244,1.55971263854289e-05,246.563899382705,0.000574276276922107,246.708969105141,0.0340944758251359,249.319652430818,0.0888540758975169,253.516888705798,0.31889397897105,253.627111360248,23.1874011953476,253.628231526562,0.0271575417942114,248.775534600607,0.0564141194890869,251.084761297532
3.23529,1.69424,7.2496e-05,238.932,648.317,0.0143477,0.949968,0.0202393,0.0270022,0.00157815,793.963,0.000233244,1.55288553146367e-05,246.342170743721,0.000576318281572009,246.485809554031,0.0340553191676899,249.107316325481,0.0880201354371814,253.263113601181,0.317811028334766,253.371281576094,23.1646250087782,253.372380609306,0.0271569113441403,248.563269620178,0.0561460343572102,250.863779272681
3.52941,1.71067,7.2496e-05,238.494,648.301,0.0143473,0.949968,0.0202393,0.0270022,0.00157815,793.471,0.000233244,1.54674458178193e-05,246.140758541153,0.000578226943729224,246.283123388388,0.0340199296792244,248.914603519588,0.087269382785687,253.032976122282,0.316815846976241,253.139307208151,23.1420443394537,253.140387354723,0.0271567232532183,248.370632407989,0.0559028960502761,250.663166493565
3.82353,1.72772,7.2496e-05,238.092,648.286,0.014347,0.949968,0.0202393,0.0270022,0.00157815,793.018,0.000233244,1.54108434468716e-05,245.955489856973,0.000579979423991669,246.096701827258,0.033985400038792,248.737220251598,0.0865828972365129,252.821216976565,0.315924497358769,252.925883721699,23.1232425173051,252.926946762002,0.0271550285258835,248.193370133762,0.0556770504953085,250.478381597431
4.11765,1.74528,7.2496e-05,237.718,648.27,0.0143466,0.949968,0.0202393,0.0270022,0.00157815,792.598,0.000233244,1.53585231738832e-05,245.783402214587,0.000581631517950065,245.923561076482,0.0339527616204159,248.57249890644,0.0859491982962853,252.624672909893,0.315078375172578,252.727814304856,23.103506313944,252.728861672151,0.0271531348659976,248.028782732462,0.0554667012937253,250.306720959942
4.41176,1.76323,7.2496e-05,237.371,648.254,0.0143463,0.949968,0.0202393,0.0270022,0.00157815,792.207,0.000233244,1.53093697103879e-05,245.622883421562,0.000583148222289988,245.762072719841,0.0339198833786099,248.418647948971,0.0853602624905842,252.441113708949,0.314320467865574,252.542850726225,23.0880056855306,252.543883668364,0.0271493983750118,247.875113880412,0.0552677243298394,250.146255361391
4.70588,1.78154,7.2496e-05,237.046,648.238,0.0143459,0.949968,0.0202393,0.0270022,0.00157815,791.841,0.000233244,1.5263390487891e-05,245.472503440373,0.000584576808267599,245.610797259199,0.0338882064740712,248.274488187732,0.0848111845043544,252.269182175708,0.313596739874442,252.369619123711,23.0718041679782,252.370638715708,0.0271452588127905,247.73115018188,0.0550804096588218,249.99583229432
